actorId,actorName,actorGender
88212,Daniel Skowronek,F
1018947,Maximiliano Hernández,M
1149,Aleksander Bardini,M
1732219,Vicky Illk,F
167604,Nadia Dajani,F
1683690,Stéphanie Gesnel,F
17543,Fabian Busch,M
56804,Lau Siu-Ming,F
232888,Annabella Schiavone,F
1824933,David Sánchez Calvo,F
76961,Demián Bichir,M
1302426,Landon Marshall,F
35794,Shenaz Treasury,F
1576530,Angelo Bonsignore,M
1419560,Harold Entwistle,F
86006,Paul Eiding,M
2454,Matt Clark,M
94071,Leslie Brooks,F
12502,Jonathan Hale,M
82420,Koen De Bouw,M
36992,Vicco von Bülow,M
58225,Zach Galifianakis,M
6661,Inga Landgré,F
587930,Marta Etura ,F
62507,Mihai Stanescu,F
43853,Irma P. Hall,F
583191,Murrell Garland,F
73709,Raji James,M
13969,Russell Hicks,M
540282,Hilda Fenemore,M
1662234,Georges Montillier,F
1545695,Husani Blaze,F
565520,Debbie Cummins,F
1285375,Tatá Werneck,F
8170,Eva Mendes,F
58563,David Alan Grier,M
19506,James Arnold Taylor,M
168377,Bradley White,M
7351,Ana Claudia Talancón,F
86410,Sandy Roth,F
40966,Elsie Randolph,F
129215,Ernst Stötzner,F
15112,Tom Selleck,M
7447,Alec Baldwin,M
54211,Thomas Tull,F
85368,Michael Fantini,F
5970,Pier Paolo Pasolini,M
1102598,Maurício Ribeiro,F
66472,Zbigniew Borek,F
54291,Gilles Lellouche,M
40553,Sharon Clark,F
69597,Drew Barrymore,F
79581,Gloria Lynne Henry,F
90515,Blerim Destani,M
1116281,Ali Tataryn,F
1245,Scarlett Johansson,F
1803605,Salvador Tari,F
55314,Kimberly Elise,F
188559,Brent Musburger,F
1158832,Chasty Ballesteros,F
22811,Daisy Donovan,F
1080542,Jenna Coleman,F
76470,Dan Butler,M
37058,Anne-Marie Duff,F
22127,Christina Kirk,F
134731,Kanchit Kwanpracha,F
20011,Margot Kidder,F
91261,Ena Hartman,F
62033,Doug McGrath,F
103388,Joey Pollari,M
105422,Wong Yau-Nam,M
90219,Luís Melo,F
176823,Spencer Grammer,F
19439,Henry Gibson,M
70168,Jean-Roger Milo,M
68311,Gilbert Sicotte,M
213479,Keiji Sada,M
1181318,Edward Burns,M
31771,Billy Bletcher,M
1735092,Robin Lynch,F
1643635,Charles Lawlor,F
1075172,Davison Clark,F
98203,Kiel Martin,M
58370,Amanda Crew,F
98666,Masuimi Max,F
224197,Brett Gelman,M
1255425,Hermann Göring,M
71248,James Laurenson,M
78147,Élodie Yung,F
52336,Teresa Barnwell,F
15091,Melanie Lynskey,F
225220,Gordon Cooper,F
28897,Julie T. Wallace,F
52019,Marlene Lawston,F
1446018,Kalia Prescott,F
1077844,David P. Smith,F
1054326,Dusan Hyska,M
142335,Upendra Limaye,F
1091423,Jimmy Gonzales,M
27649,Joseph Long,M
1816703,Aaron Ishmael,F
14303,Basil Radford,M
85516,Shelly Varod,F
1572175,John Henson,F
1347284,Lauren Gros,F
113,Christopher Lee,M
3902,Sara Stewart,F
30111,Bud Abbott,M
55620,Jacques Hilling,M
1690063,Mayline Dubois,F
8496,Paul Fix,M
24537,Jean-Claude Bouillon,M
17782,Colm Meaney,M
2934,Mary Gordon,F
13609,Alex Descas,M
3026,Rob Reiner,M
1106411,Lindsay Burdge,F
1283042,Ryan Kay,F
10804,Margaret Dumont,F
1186731,Robert Diago DoQui,F
129676,John Warburton,F
140358,André Brunot,F
144127,Ben Taggart,F
517,Pierce Brosnan,M
61703,Ron Yuan,M
7866,Robert Pastorelli,M
104283,Bente Juel,F
558205,Julie R. Ølgaard,F
19328,Dick Powell,M
52938,Vanessa Lengies,F
1228995,Ellie Haddington,F
33501,Mark Christopher Lawrence,M
1182314,Vladimir Marek,F
1288668,Chris Kotcher,F
122282,Sean Huze,M
69740,Patrick Renna,M
8691,Zoe Saldana,F
1512027,Ahmad Mehranfar,F
1059875,Kaname Endô,F
53770,Marie Therese Chevallier,F
4819,Paolo Bonacelli,F
1280766,Aaron Wan,F
4031,Greg Ellis,M
35192,Burt Ward,M
6968,Hugh Jackman,M
233264,Jenna Romanin,F
3339,Elisha Cook Jr.,M
1157592,Atiqah Hasiholan,F
1499803,Sean Malone,F
100582,Roy Engel,F
26103,Louise-Anne Hippeau,F
88814,Parveen Babi,F
1190692,Eleanor Thatcher,F
112973,Antonio Cifariello,M
16203,John Dukakis,M
76239,Garette Ratliff Henson,M
1438046,Ulrikke Juul Bondo,F
66793,Paraskeva Djukelova,F
540,Callum Keith Rennie,M
43524,Charles Robinson,M
10083,Beatrice Straight,F
58636,Lorena Feijóo,F
34330,Ann Savage,F
110773,Matti Lötjönen,F
1208020,James Conaty,M
93624,Ray Teal,F
4075,Eve McVeagh,F
105810,Selmer Jackson,M
49360,Stephen Curry,M
5049,John Hurt,M
1419626,Bernard Chazelle,F
51300,Derek Mears,M
17051,James Franco,M
43202,Antje Traue,F
1135538,Skyler Fortgang,M
77240,Gurpreet Ghuggi,M
85733,Tinnu Anand,F
14889,Connor Price,M
1377458,Algee Smith,F
1808747,Neil Fleischer,F
81786,Barbara Schulz,F
1435802,Luz Mery Sanchez,F
93164,Reginald Beckwith,M
105389,Ashley Cowan,F
96084,Julian Lennon,M
1092893,Ardy Brent Carlson,M
21594,Chris Klein,M
24381,Jean Yanne,M
1488353,Haruyoshi Nakamura,F
1302325,David Michael Paul,F
71157,Mille Lehfeldt,F
1307731,Norman Queeno,F
55061,Kajol,F
136381,Teruko Nagaoka,F
35013,David Oyelowo,M
5963,Magali Noël,F
1201311,Tony Stef'Ano,F
141471,Diane Wilson,F
6168,Austin Pendleton,M
1358980,Chris LaPanta,F
53201,Edgar Givry,F
589301,Nicolas Ullmann,F
195528,Nicholas Beveney,F
160112,Alex Doduk,F
1357882,Randall Stevens,F
1077922,Gary C. Stillwell,F
42572,Beryl Reid,F
101720,William Lucas,M
569835,Luciano Moggi,F
38225,Cher,F
85628,Richard Pasco,M
262720,Joel S. Keller,M
59543,Steffany Huckaby,F
8963,Karen Black,F
1589908,Denis Michaud,F
9048,Clark Gregg,M
69530,Anatoliy Kotenyov,M
879,Billy Bob Thornton,M
10402,Alanna Ubach,F
1314891,Mauricio Mendoza,F
207384,Sarah Solemani,F
1614089,Michael Wai,F
1330754,Charles Papasoff,F
35745,Preity Zinta,F
937039,Carla Bruni,F
238926,Manuel Arbó,F
7153,Imogen Kogge,F
234352,Margot Robbie,F
