directorId,directorName
1335642,Robert Gordon
105866,Marco Bellocchio
19639,André Hunebelle
63943,Rowdy Herrington
25854,Lucas Belvaux
122728,Charles Matthau
25645,Hirokazu Koreeda
24471,Charles Nemes
1438608,Inés de Oliveira Cézar
16730,Darrell James Roodt
56411,Glenn Ficarra
2675,Darren Lynn Bousman
56717,Tom Vaughan
89669,A. Edward Sutherland
81916,Tommy Wiseau
150193,Sandy Collora
1251430,Hiroshi Ishiodori
94096,George Sherman
57832,Daniel Lee
13275,Tadanobu Asano
20658,Naomi Kawase
38692,Paul Hoen
71063,Patrick Tam Kar-Ming
113337,Aleksey Balabanov
68580,Christoph Schrewe
19396,John Brahm
558263,Marcos Jorge
24970,John Asher
238954,Marc Allégret
1050833,Lazar Stojanović
12898,Tim Allen
1447239,Benjamin Cox
71267,Kirk De Micco
54971,Marc Rocco
1475576,Rhys Thomas
39885,Jacques Poitrenaud
9339,Lilly Wachowski
114518,Bill Rebane
46997,Alan Gibson
1701497,Itzik Kricheli
237051,Sukumar
99875,Masami Hata
42457,Gregor Schnitzler
146026,D. Stevens
145618,Tony Elwood
10516,John G. Blystone
25900,Daniel Guzmán
225680,Roman Karimov
113802,Marcus Warren
13927,Kurt Wimmer
254182,Wilford Leach
1013132,Manish Gupta
33062,Curtis Bernhardt
1144937,Paulo Caldas
8630,Erich von Stroheim
85530,R. Balki
93107,Masaaki Yuasa
150347,John Dower
65470,Jan Verheyen
97579,Guy Maddin
102063,Luigi Batzella
108481,JP Siili
454818,Alejandro Brugués
229351,Yury Bykov
216116,Jeff Stilson
95025,Arthur B. Woods
15206,Jim McBride
18355,Alex Winter
51875,Andrew V. McLaglen
96159,Richard Wilson
66224,Charles B. Pierce
66191,Barry Cook
144195,Christoffer Boe
240,Stanley Kubrick
11201,Claude Zidi
1100340,Tommy Wiklund
5509,Wolfgang Kohlhaase
53657,Pasquale Festa Campanile
46959,Frank McDonald
935517,Glenn Ciano
9740,René Clément
15389,Louis Malle
107669,Eldar Ryazanov
1384678,Chris Tasara
937247,Vladan Nikolić
80215,Charles Stone III
974548,Juan Bustillo Oro
102429,Roger Corman
115053,St. John Legh Clowes
198375,Maury Dexter
57581,Neil Marshall
1278184,Boo Ji-yeong
110695,Majid Majidi
9622,Eric Brevig
1284640,Marcus Griffin
76453,Adam Gierasch
16294,Jonathan Demme
69167,Juzo Itami
1243907,Mark Sawers
33368,Saul A. Goodkind
55948,Alan Smithee
126973,Aurelio Grimaldi
105643,Jay Oliva
4109,Michael Curtiz
1414140,Lea Glob
12804,Peter Yates
12989,Andrew Davis
17046,Gary Winick
131301,Guan Hu
150748,Jerry P. Jacobs
7722,Edward Neumeier
44056,Fred Dekker
101809,Graham Reznick
98136,Andy Sidaris
93079,León Klimovsky
1313192,Zatella Beatty
25165,Roy William Neill
125862,Aleksandr Adabashyan
61490,Andrew van den Houten
17016,Neil Jordan
557418,Song Il-gon
58608,Shinya Tsukamoto
1223,Joel Coen
14875,Robert Rossen
12099,Raman Hui
83706,Duane Clark
5029,Robert Siodmak
69646,Ulf Malmros
229702,Rufus Norris
55149,John Paizs
1150497,Johnny Barrington
221723,Bradley Walsh
544130,Jen Soska
6340,Susannah Grant
96486,John Harlow
64205,Alexandre Arcady
1700496,Daphne Matziaraki
30833,William Beaudine
932088,Scott Speer
98838,Vladimir Motyl
74655,Jeremy Saulnier
71455,Almut Getto
31621,Jeff Burr
21771,Daniela Thomas
112269,Dave McLaughlin
24,Robert Zemeckis
154521,Craig Zisk
233660,Hiroshi Shimizu
70905,Vadim Jean
59031,Didier Bourdon
1252958,Yukihiro Miyamoto
1041682,Patrick Bokanowski
76409,Noboru Ishiguro
42081,George Butler
124390,Michael Haussman
96627,André Téchiné
51917,Larry Clark
19093,George Marshall
15337,John Polson
22558,Nils Gaup
937431,Christine Molloy
85919,Peter Kuran
8300,Kevin Reynolds
