actorId,movieId,,
88212,22075,,
1018947,76122,,
1149,124,,
1732219,381028,,
167604,41709,,
1683690,2841,,
17543,1557,,
56804,9048,,
232888,43211,,
1824933,340837,,
76961,8880,,
1302426,259963,,
35794,416477,,
1576530,129530,,
1419560,43823,,
86006,22794,,
2454,42566,,
94071,43787,,
12502,66707,,
82420,150041,,
36992,4695,,
58225,22947,,
6661,204128,,
587930,27605,,
62507,14126,,
43853,10312,,
583191,50503,,
73709,10557,,
13969,67375,,
540282,235092,,
1662234,22240,,
1545695,333088,,
565520,20842,,
1285375,261461,,
8170,12212,,
58563,11066,,
19506,8965,,
168377,41661,,
7351,16382,,
86410,70738,,
40966,36049,,
129215,377263,,
15112,31078,,
7447,9623,,
54211,49026,,
85368,19975,,
5970,122619,,
1102598,135561,,
66472,10754,,
54291,10795,,
40553,5002,,
69597,290762,,
79581,1813,,
90515,19306,,
1116281,285838,,
1245,73257,,
1803605,36090,,
55314,348390,,
188559,218836,,
1158832,195589,,
22811,13971,,
1080542,282848,,
76470,21634,,
37058,24578,,
22127,16155,,
134731,2805,,
20011,9531,,
91261,23728,,
62033,8879,,
103388,360339,,
105422,29977,,
90219,23508,,
176823,257974,,
19439,18331,,
70168,51980,,
68311,13635,,
213479,88562,,
1181318,238124,,
31771,216068,,
1735092,47497,,
1643635,34312,,
1075172,23101,,
98203,27554,,
58370,71700,,
98666,27601,,
224197,352695,,
1255425,250880,,
71248,51828,,
78147,65754,,
52336,7290,,
15091,253287,,
225220,55027,,
28897,18,,
52019,9315,,
1446018,246133,,
1077844,953,,
1054326,102382,,
142335,92193,,
1091423,333385,,
27649,49017,,
1816703,86593,,
14303,44087,,
85516,31453,,
1572175,13352,,
1347284,263115,,
113,43450,,
3902,272,,
30111,14604,,
55620,11594,,
1690063,283726,,
8496,26596,,
24537,37645,,
17782,63564,,
2934,116232,,
13609,35008,,
3026,343887,,
1106411,277687,,
1283042,193756,,
10804,158811,,
1186731,167575,,
129676,38585,,
140358,98969,,
144127,3083,,
517,75,,
61703,91548,,
7866,31003,,
104283,29570,,
558205,70670,,
19328,188468,,
52938,15648,,
1228995,188521,,
33501,11187,,
1182314,29937,,
1288668,253303,,
122282,6973,,
69740,18113,,
8691,45013,,
1512027,440266,,
1059875,25716,,
53770,8069,,
4819,62789,,
1280766,50730,,
4031,287233,,
35192,30028,,
6968,76170,,
233264,40205,,
3339,118017,,
1157592,174645,,
1499803,255157,,
100582,28363,,
26103,2566,,
88814,38022,,
1190692,95943,,
112973,31293,,
16203,41913,,
76239,6488,,
1438046,16039,,
66793,334440,,
540,1946,,
43524,28,,
10083,109251,,
58636,9700,,
34330,388910,,
110773,33481,,
1208020,248001,,
93624,40642,,
4075,42703,,
105810,25688,,
49360,408439,,
5049,1427,,
1419626,46504,,
51300,608,,
17051,8414,,
43202,368342,,
1135538,4982,,
77240,81867,,
85733,147405,,
14889,34341,,
1377458,248574,,
1808747,353070,,
81786,206821,,
1435802,156022,,
93164,68337,,
105389,2897,,
96084,26723,,
1092893,27582,,
21594,56552,,
24381,122229,,
1488353,38221,,
1302325,302666,,
71157,254200,,
1307731,263416,,
55061,8453,,
136381,28276,,
35013,277662,,
5963,2721,,
1201311,54445,,
141471,13486,,
6168,13673,,
1358980,363992,,
53201,11444,,
589301,337674,,
195528,239845,,
160112,48567,,
1357882,43838,,
1077922,2623,,
42572,54575,,
101720,72882,,
569835,379998,,
38225,42297,,
85628,115972,,
262720,221981,,
59543,22051,,
8963,67220,,
1589908,285783,,
9048,644,,
69530,11476,,
879,27070,,
10402,70863,,
1314891,229702,,
207384,158914,,
1614089,15136,,
1330754,1271,,
35745,54959,,
937039,3586,,
238926,206725,,
7153,11567,,
234352,258489,,
133736,94510,,
1226696,12123,,
563053,71482,,
1239505,14008,,
1051831,95508,,
27960,25797,,
100577,86772,,
1058011,36577,,
98608,75555,,
1890471,261815,,
188722,28753,,
8666,13199,,
1360002,244539,,
1077903,622,,
1281,26505,,
4093,112058,,
14153,53185,,
45291,14117,,
1089514,38684,,
1356547,56942,,
1032528,46943,,
94732,49264,,
127631,42288,,
1288585,341957,,
1096768,123979,,
8167,9036,,
30485,76600,,
1871279,42674,,
8828,31509,,
1367049,15712,,
559658,70772,,
1637680,402612,,
69807,11547,,
995348,10138,,
1242148,9102,,
82382,111100,,
2201,51880,,
24321,127776,,
27660,11318,,
552680,10515,,
1604095,379959,,
30242,104720,,
1019964,99106,,
168326,233490,,
62231,512,,
564035,204922,,
8632,43110,,
1062247,56177,,
206928,217719,,
1370,38321,,
1812586,207780,,
1348446,11328,,
1642319,12208,,
1903174,37190,,
30709,15007,,
65197,39776,,
51938,51806,,
224223,82698,,
2372,76285,,
1844328,1481,,
1519555,273106,,
16119,5725,,
17681,1579,,
12446,19662,,
114019,337339,,
87873,21784,,
137769,46923,,
93970,131944,,
1421073,28000,,
2669,82101,,
1724693,27637,,
229191,197854,,
11902,10935,,
3090,20000,,
1133106,98120,,
1284626,26518,,
1270143,274815,,
48517,6183,,
2387,54415,,
86626,10186,,
155488,31246,,
7351,542,,
127372,83459,,
2356,269,,
1714921,136797,,
543169,25626,,
1818038,45013,,
111420,33809,,
1333922,36233,,
80567,43823,,
582698,29083,,
183245,422559,,
208246,149910,,
173451,17654,,
30555,44534,,
20563,686,,
10939,41025,,
18052,45650,,
135031,39767,,
1415936,46976,,
47643,106837,,
91404,14305,,
44620,5651,,
1168045,54861,,
39972,4910,,
1487016,296503,,
61985,26691,,
32428,52679,,
1676871,195589,,
29369,262543,,
29369,61052,,
12216,210739,,
1420879,37698,,
1034990,103851,,
41273,16266,,
52883,19042,,
12214,201749,,
80650,34977,,
102372,117435,,
230342,15752,,
113,40064,,
60072,298935,,
23931,109453,,
55467,23047,,
2885,227,,
1379453,10249,,
1549,138,,
1125801,81470,,
1185412,72847,,
1530528,72268,,
107970,31361,,
125459,35793,,
37457,11913,,
1188,104858,,
2047,386501,,
30530,81751,,
27428,124905,,
936508,159211,,
15666,43455,,
13283,36273,,
34609,18871,,
1226344,14342,,
7025,352733,,
936,50953,,
39306,394385,,
1721384,285783,,
1367241,332979,,
1026037,81796,,
77927,75629,,
1134300,153541,,
14888,14050,,
15736,43028,,
1145979,325039,,
12550,842,,
118757,10673,,
1197066,212721,,
1050324,55292,,
3337,18930,,
1348448,11328,,
11855,241259,,
113,68850,,
106843,14284,,
1215689,1571,,
10345,9622,,
1795830,96724,,
1155685,84198,,
1398251,48301,,
965179,85566,,
227926,58517,,
85940,40739,,
298229,74727,,
1199647,168056,,
137820,46930,,
1173407,37340,,
1229414,118340,,
1026877,417056,,
11086,124057,,
6725,102091,,
1781516,10397,,
88812,22460,,
175658,257176,,
76093,41434,,
21561,10648,,
1717278,402976,,
967540,68684,,
90720,312791,,
150826,1394,,
1072075,120393,,
1393715,10443,,
477074,329286,,
16264,1279,,
238939,37570,,
11793,15660,,
4038,87567,,
152942,40160,,
1196959,127651,,
78423,323661,,
11397,16437,,
13578,27932,,
235572,139563,,
13640,12535,,
14508,320853,,
1189047,42737,,
12950,202637,,
170638,49877,,
3070,236,,
19489,11112,,
78076,67166,,
126936,53503,,
24541,66541,,
786,17599,,
1815108,84328,,
97167,68,,
52061,50268,,
205,1588,,
1107812,109843,,
1271,15720,,
1482685,283995,,
1714581,120467,,
1092223,84720,,
8263,586,,
1193274,239056,,
53100,7860,,
119095,329004,,
23916,9452,,
1240252,27966,,
1635995,20859,,
82622,58625,,
82667,18082,,
1498860,15021,,
108289,83354,,
90333,25694,,
935432,41043,,
30289,56152,,
1452924,323679,,
1244683,831,,
1325532,127651,,
135420,356842,,
1177654,2395,,
1184826,85293,,
113942,35185,,
1503569,357441,,
96851,672,,
17523,82999,,
7906,10537,,
1011306,283707,,
29406,2503,,
544916,10044,,
147255,65754,,
1624631,324308,,
52722,130736,,
212641,17303,,
134321,116690,,
5924,1381,,
99330,32004,,
20418,25549,,
49971,39538,,
57854,45662,,
111002,1587,,
1869490,209276,,
1282129,45610,,
1526047,282813,,
963818,242643,,
1783247,43788,,
32093,3476,,
1150519,18927,,
18,218931,,
1863915,70666,,
119792,302401,,
1487984,374515,,
46501,10728,,
1476384,256476,,
34651,43137,,
148212,53463,,
131170,44645,,
13014,17578,,
15111,19167,,
16850,50023,,
11828,1731,,
57823,59435,,
973135,27205,,
110931,19904,,
1491567,390669,,
57770,9515,,
1101,840,,
1089461,128856,,
1673063,4912,,
1586307,34208,,
120109,54309,,
52775,24105,,
1682977,2841,,
992913,131360,,
1908,162,,
227400,25904,,
124875,41487,,
101493,74122,,
1979,37753,,
1246691,192712,,
1112344,94659,,
48087,269198,,
77264,340487,,
1152,114594,,
1200853,107985,,
158391,24186,,
34546,2084,,
187919,235046,,
50659,36247,,
21798,9567,,
138013,122894,,
44792,13767,,
3380,50675,,
380,87567,,
1711912,160704,,
55931,9725,,
5168,237202,,
