directorId,movieId
1335642,319067
105866,30239
19639,1871
63943,11074
25854,44539
122728,248706
25645,25050
24471,15449
1438608,330430
16730,52855
56411,256591
2675,101669
56717,93837
89669,30230
81916,17473
150193,41360
1251430,288037
94096,44631
57832,61187
13275,191476
20658,162442
38692,124097
71063,11960
113337,20994
68580,19039
19396,35849
558263,69335
24970,35118
238954,181876
1050833,251241
12898,35458
1447239,333358
71267,11802
54971,17736
1475576,343934
39885,90930
9339,605
114518,39154
46997,35669
1701497,414771
237051,365187
99875,116318
42457,9295
146026,52462
145618,39509
10516,46351
25900,326198
225680,280422
113802,35153
13927,7299
254182,15716
1013132,31983
33062,212713
1144937,232739
8630,70806
85530,16576
93107,165718
150347,39183
65470,225975
97579,13241
102063,36879
108481,50988
454818,74726
229351,313556
216116,22800
95025,43833
15206,125949
18355,311615
51875,38450
96159,26758
66224,99194
66191,10674
144195,52473
240,45314
11201,9564
1100340,134812
5509,1906
53657,11813
46959,23281
935517,87835
9740,39142
15389,114033
107669,148622
1384678,273922
937247,89453
80215,13098
974548,210653
102429,3072
115053,35986
198375,292063
57581,9392
1278184,287647
110695,17078
9622,41515
1284640,191476
76453,16921
16294,134743
69167,11830
1243907,318054
33368,23331
240,935
19639,111480
55948,84724
126973,108705
105643,14613
4109,10907
1414140,304030
12804,221917
12989,78406
17046,9986
131301,114464
150748,274478
7722,11127
44056,13509
101809,28741
98136,45029
93079,29313
1313192,266442
25165,3076
125862,94052
61490,9987
17016,102780
557418,21781
58608,283710
1223,44264
14875,990
12099,48466
83706,168643
5029,25413
69646,11466
229702,109584
55149,8464
1150497,168616
221723,170455
544130,126277
6340,13668
96486,92459
64205,119193
1700496,422960
30833,116190
932088,85446
98838,73546
74655,313922
71455,12147
31621,28640
21771,57811
112269,34381
24,17979
154521,174321
233660,115596
70905,56428
59031,246320
1252958,212162
1041682,104317
76409,23504
42081,45538
124390,24619
96627,102489
51917,18484
19093,43828
15337,11096
22558,13221
937431,33429
85919,21846
8300,9044
87561,21466
238027,366120
5917,65990
85809,44918
94045,25646
1193602,192132
151748,46439
930708,84334
99511,63260
19006,43942
1141761,333295
100979,42551
1361874,291162
11528,776
584865,69423
71901,84226
58178,10833
1347507,284231
1155073,37820
1147289,412120
56383,340487
39022,66092
1637776,396330
142513,49584
222686,82327
2000,143
508,49526
57193,9297
172,254024
585004,73642
131955,34658
1170861,189803
468,71
1124024,146341
70334,46111
992840,92286
54869,43549
60045,62527
13620,40470
3776,113629
1076268,122492
88820,29128
147021,40909
41632,197177
93087,25060
69759,93553
8688,230779
84335,277355
220691,293310
209972,159152
52842,7453
3776,44461
29433,63025
10601,86778
1032,524
259027,259835
92317,287233
584035,105554
19457,35580
86152,20449
21227,30903
82796,38837
1179824,199647
1963,48216
65678,53870
1498167,355193
571191,91041
38692,360605
3776,31522
252806,17447
1143378,161073
5696,77223
1088719,129229
1351760,286120
54734,109414
80577,15990
1884,161
82194,463800
19377,309929
579303,14771
23213,30069
1040405,106402
64151,10402
85551,20069
1293989,254251
14773,28023
83784,18917
945167,58587
1046585,78248
13284,37627
544134,193726
1305412,261899
225009,56815
448930,76043
565681,47331
16589,3513
8500,18539
1428158,393079
31074,74289
1073817,59908
107148,30856
1170415,188984
151162,46767
56789,59860
991868,272693
51910,24782
78845,44902
78562,23706
70103,103173
19450,2017
122740,224084
71797,57211
39009,58925
39743,137826
226403,57510
19499,1273
5970,48848
30365,13536
33821,25627
88809,84693
85203,218329
238824,213496
131465,44781
15461,1114
1083210,59873
2226,32068
64883,94047
7395,11543
106093,41617
52968,13486
6011,86837
1061773,86705
587509,29299
130938,12246
150259,139272
550227,53206
543495,113958
1537976,341051
4786,26949
88976,23286
933695,153561
89745,184328
928915,333350
57665,40468
48309,6163
18161,75969
1385799,378480
90367,379291
13861,32526
142630,53283
1066310,288154
127542,17774
96948,40925
1556959,387054
12804,29185
115677,188521
52609,150004
55119,86942
21227,58080
39022,4706
40615,59219
16412,187482
1135820,154793
50719,41301
109342,32543
19161,33297
54469,77780
63589,139380
71947,12837
78029,28121
577385,75931
70602,15736
88077,50332
18927,1736
8635,32600
6593,11536
33064,43327
1120003,379508
40230,279692
25826,5482
231866,437830
1004922,174611
105343,40345
82255,52741
40391,201703
57290,9318
954780,128121
1543405,370765
88594,46409
135678,74199
16294,13440
96323,23966
96801,56599
74863,65291
1255,11169
1288796,253306
14520,193547
769,8046
74878,25736
53395,274906
56405,384727
2042,71461
20658,255948
3224,12664
76936,21325
16294,85325
1304672,332788
88792,20995
229002,178809
2765,47555
230469,160372
11887,11774
88567,22285
1082091,126104
56151,14207
25236,104259
119784,92283
20907,156022
85758,20174
94045,24617
56960,192149
110834,75547
58689,9708
137495,104251
224644,56591
58021,50124
37932,9400
1650,1719
9789,91781
1085918,286697
16294,14976
3974,48599
628,21036
125796,41205
9264,283691
56405,85735
31962,49352
16862,38198
3288,2105
100336,63112
70235,57425
592438,227932
225332,56997
10620,40220
113855,31325
63481,78362
452840,24787
224452,171061
87130,16460
93397,52044
19798,158939
37526,35411
81210,55612
932906,86096
12011,29398
31497,184824
10774,38922
66086,68430
30942,112058
18897,21519
6295,570
21399,19553
227452,57586
110343,18176
61821,95029
72952,12583
1183912,158947
7671,41894
34264,69014
19708,28605
143559,16661
26713,9334
1081448,81524
146605,23200
6011,32761
4600,45046
56210,352161
1106877,137145
938625,90617
117049,151937
80602,239562
21370,9912
555094,20089
1364881,393263
61244,9973
138006,114426
88939,26230
261224,137357
55161,27885
42,34870
608,149870
240036,66753
45672,35953
145162,295314
92905,48842
35735,51485
146439,220289
1421857,322434
47062,24712
93906,98399
65452,49462
15868,12774
76381,14117
99440,104927
131096,59996
19606,16535
130311,41558
1107266,137499
55789,239566
82714,307114
25165,1773
1088277,128990
1375751,298296
55968,197563
134026,25626
1263750,337550
7187,9691
32603,154795
1032,91459
1060223,319513
1316819,268272
117370,435366
131184,21947
80215,13497
54590,12919
1215282,80294
49892,28321
13899,42637
1186076,398929
8577,8267
11431,171594
33166,66436
30811,52059
32765,42605
78069,14406
1299390,258369
1010138,95943
60046,259018
1148226,190148
56911,10510
6111,79591
88077,84575
575126,349008
10249,253239
78523,13703
1700106,391618
12011,29510
64194,82501
68687,65501
225899,20432
11434,756
10965,257344
553096,68419
133094,89581
1155323,172760
112141,34194
67426,27974
146793,83782
863070,82405
59584,9817
19093,147726
3974,10654
35959,44588
64061,35119
240555,65123
1146974,16224
1362555,291692
7145,1257
83399,43466
1181022,126172
1421868,149723
130030,108822
49903,50359
72206,64566
128280,301744
606084,81294
24989,53514
1364459,423078
238118,72949
39138,4729
82482,17906
16785,1248
1364419,377362
84369,112878
89193,60014
1144650,162382
57206,9300
1148322,166733
98750,27074
21678,14735
6046,435
32250,158091
1653774,407389
56539,209263
2746,702
1785844,449503
995513,377847
220368,259610
67411,13105
89226,87894
109744,297399
52691,170687
96118,34067
74566,18884
126763,394034
116607,219466
6111,2625
37626,47496
1645102,268917
545675,282298
33722,68982
73654,126321
76451,14193
40,75976
35452,15136
357,187028
213485,139575
48566,18650
45055,266047
1149892,283792
1249974,37789
120753,38457
83996,251630
37948,10972
97618,26959
150143,54229
985706,91921
57022,32497
82389,121238
1182398,146184
21506,33454
1028310,298078
3224,59517
1308987,432607
71923,12244
1665174,418979
13615,15037
19606,30624
226552,291854
23227,210479
1118236,364684
48084,246314
142013,94329
26502,27472
112674,139075
109253,32458
6155,338546
124135,78552
183,24675
589507,143240
