movieId,movieName,movieDuration,movieBudget,movieReleaseDate
56429,Up from the Depths,85,0,06-01-1979
97995,Seven Years Bad Luck,62,0,02-06-1921
84198,A Place at the Table,84,0,03-22-2012
152795,The Congress,122,0,05-16-2013
42495,King Lear,137,0,02-04-1971
141971,King Lear,137,0,02-04-1971
10991,Blackout,108,0,12-26-2008
18440,Pokémon: Spell of the Unknown,93,16000000,07-08-2000
22649,Days of Darkness,89,0,01-01-2007
12600,A Farewell to Arms,89,4,12-08-1932
5511,Pokémon 4Ever: Celebi - Voice of the Forest,75,0,07-06-2001
15028,Seven Years Bad Luck,62,0,02-06-1921
99080,Le Samouraï,105,0,10-25-1967
14788,Clockstoppers,94,26000000,03-17-2002
110428,Clockstoppers,94,26000000,03-17-2002
298721,The Congress,122,0,05-16-2013
11115,The Viking,70,0,06-21-1931
132641,Bubble,73,1600000,09-03-2005
13209,Days of Darkness,89,0,01-01-2007
25541,Camille Claudel 1915,95,3512454,03-13-2013
77221,Cemetery of Splendour,122,980000,09-02-2015
109962,Deal,85,0,01-29-2008
69234,A Farewell to Arms,89,4,12-08-1932
4912,The Viking,70,0,06-21-1931
265189,Cemetery of Splendour,122,980000,09-02-2015
105045,Wife,89,0,04-29-1953
23305,Offside,93,2500,05-26-2006
159849,Le Samouraï,105,0,10-25-1967
119916,Deal,85,0,01-29-2008
95853,Camille Claudel 1915,95,3512454,03-13-2013
90532,Brotherhood,90,0,10-21-2009
334681,Black Gold,130,40000000,12-21-2011
47453,Rich and Famous,115,0,09-23-1981
84058,The Phantom of the Opera,168,10000000,03-18-1990
13460,Offside,93,2500,05-26-2006
4154,Pokémon: Spell of the Unknown,93,16000000,07-08-2000
172890,Confessions of a Dangerous Mind,113,30000000,12-30-2002
37942,Force Majeure,118,0,08-15-2014
1736,Wife,89,0,04-29-1953
161226,The Promise,115,0,02-16-1995
111854,The Warrior,86,0,09-23-2001
98548,Blackout,108,0,12-26-2008
29705,Pokémon 4Ever: Celebi - Voice of the Forest,75,0,07-06-2001
65460,Bubble,73,1600000,09-03-2005
21531,Why We Fight: Divide and Conquer,57,0,01-01-1943
34181,The Tempest,123,0,02-27-1980
8740,Rich and Famous,115,0,09-23-1981
61265,The Promise,115,0,02-16-1995
192133,Black Gold,130,40000000,12-21-2011
22555,The Phantom of the Opera,168,10000000,03-18-1990
12704,Blackout,108,0,12-26-2008
119278,The Warrior,86,0,09-23-2001
35976,Why We Fight: Divide and Conquer,57,0,01-01-1943
59419,A Place at the Table,84,0,03-22-2012
10438,Brotherhood,90,0,10-21-2009
340785,Confessions of a Dangerous Mind,113,30000000,12-30-2002
30645,Force Majeure,118,0,08-15-2014
27932,The Tempest,123,0,02-27-1980
226486,Bunny Drop,114,0,08-20-2011
369058,Shala,141,0,01-20-2011
33810,Among the Believers,0,0,04-16-2015
13971,Sodoma's Ghost,84,0,01-01-1988
126597,From Hell It Came,73,0,08-25-1957
5721,Doomsday,108,30000000,03-14-2008
61138,Three Seasons,105,0,04-30-1999
27359,Metastases,0,0,03-01-2012
247691,City of Fear,81,0,02-01-1959
55761,Shoppen,91,0,05-02-2007
37144,Biwi No. 1,159,0,05-27-1999
17988,Chicks With Sticks,99,0,10-25-2005
104433,People Like Us,114,16000000,06-29-2012
400136,The Tunnel,94,0,10-27-1935
38580,Carnosaur 2,83,0,02-23-1995
169864,Barking Dogs Never Bite,106,0,02-19-2000
261037,Gertrud,119,0,12-19-1964
40880,The Vanishing,107,0,10-27-1988
